1967.png,1
1804.png,1
1988.png,1
1657.png,1
1810.png,0
1838.png,0
1623.png,2
1637.png,0
1970.png,0
1964.png,0
1794.png,2
1958.png,0
1780.png,2
1757.png,1
1743.png,2
1742.png,0
1756.png,0
1781.png,0
1959.png,0
1795.png,1
1965.png,0
1971.png,1
1636.png,0
1622.png,2
1839.png,0
1811.png,0
1805.png,0
1813.png,1
1807.png,0
1634.png,0
1875.png,0
1861.png,1
1652.png,1
1646.png,0
1929.png,0
1901.png,0
1915.png,0
1726.png,0
1732.png,0
1733.png,0
1727.png,0
1914.png,0
1900.png,1
1928.png,0
1647.png,0
1653.png,0
1860.png,0
1874.png,1
85_8.9_0.png,0
1684.png,0
1848.png,0
1690.png,0
1686.png,1
1692.png,1
1862.png,1
1876.png,1
1645.png,1
1889.png,0
1651.png,0
1679.png,1
1916.png,0
1902.png,1
1731.png,0
1725.png,0
1719.png,1
1718.png,1
1724.png,2
1730.png,2
1903.png,1
1917.png,0
1678.png,0
1650.png,2
1888.png,1
1644.png,0
1877.png,2
1863.png,0
1693.png,0
1687.png,1
1846.png,1
1852.png,0
1885.png,2
1891.png,1
1649.png,0
1661.png,1
1675.png,2
1932.png,0
1926.png,1
1729.png,2
1715.png,2
1701.png,1
1700.png,0
1714.png,0
1728.png,0
1927.png,1
1973.png,1
1783.png,2
1797.png,0
1768.png,2
1740.png,0
1998.png,0
1754.png,1
1755.png,1
1999.png,0
1741.png,1
1769.png,2
1796.png,0
1782.png,1
1972.png,1
1966.png,1
88_9.8_0.png,1
81_12_1.png,1
86_12.2_1.png,0
1621.png,0
1635.png,2
1806.png,1
1812.png,1
1816.png,0
1802.png,0
1631.png,0
1625.png,1
90_10.6_1.png,0
1786.png,0
1792.png,1
1962.png,1
1976.png,0
1745.png,0
1751.png,2
1989.png,0
1779.png,1
1778.png,0
1750.png,0
1744.png,0
1977.png,1
1963.png,0
1793.png,0
1787.png,1
1624.png,2
1630.png,1
1803.png,2
1817.png,1
1829.png,0
1801.png,2
1815.png,1
1626.png,0
1632.png,1
99.png,0
1949.png,1
1791.png,1
1785.png,0
1975.png,1
1961.png,1
1752.png,2
1746.png,2
1747.png,1
1753.png,1
1960.png,0
1974.png,1
1784.png,0
1790.png,1
1948.png,0
83_10.5_1.png,0
98.png,0
1633.png,1
1627.png,0
1814.png,1
1800.png,1
1828.png,0
1867.png,2
1873.png,1
1683.png,1
1697.png,1
1668.png,0
1898.png,1
1640.png,1
1654.png,0
1913.png,1
1907.png,0
1708.png,0
1734.png,0
1720.png,1
1721.png,2
1735.png,1
1709.png,2
1906.png,1
1912.png,0
100.png,0
1655.png,0
1641.png,1
1899.png,1
1669.png,1
1696.png,1
1682.png,0
1872.png,1
1866.png,0
1870.png,0
1864.png,1
1694.png,0
1680.png,1
1858.png,1
1643.png,0
2000.png,0
1904.png,0
1910.png,2
1938.png,2
1723.png,0
1737.png,0
1736.png,0
1722.png,0
1939.png,0
1911.png,1
1905.png,1
1642.png,1
1656.png,1
1859.png,1
1681.png,1
1695.png,0
1865.png,1
1871.png,0
1691.png,2
1849.png,0
1685.png,0
1933.png,1
1674.png,1
1660.png,0
1648.png,0
1890.png,2
1884.png,1
1853.png,2
1847.png,1
1689.png,1
1851.png,2
1845.png,0
1879.png,0
1892.png,2
1886.png,2
1676.png,1
1662.png,0
1925.png,0
1931.png,2
1919.png,1
1702.png,1
1716.png,0
1717.png,1
1703.png,1
1918.png,1
1930.png,2
1924.png,1
1663.png,1
1677.png,2
1887.png,1
1893.png,0
1878.png,1
1844.png,1
1850.png,0
1688.png,0
1868.png,0
1854.png,0
1698.png,1
1840.png,0
1673.png,1
1667.png,1
1897.png,0
1883.png,0
87_10.5_0.png,1
92_11_1.png,1
1908.png,0
1920.png,0
1934.png,2
1707.png,2
1713.png,0
1712.png,1
1706.png,0
1935.png,0
1921.png,2
1909.png,2
1882.png,1
1896.png,1
1666.png,0
1672.png,2
1841.png,1
1699.png,1
1855.png,1
1869.png,1
1843.png,0
1857.png,0
1664.png,1
1670.png,1
1880.png,0
1658.png,0
1894.png,0
1937.png,0
1923.png,0
1710.png,2
1704.png,0
1738.png,1
1739.png,1
1705.png,1
1711.png,0
1922.png,0
1936.png,2
1895.png,1
1659.png,0
1881.png,0
1671.png,1
1665.png,1
1856.png,1
1842.png,0
1825.png,0
1831.png,0
1819.png,2
95.png,1
84_9.3_0.png,1
1951.png,0
1789.png,1
1945.png,2
1979.png,0
1992.png,0
1986.png,0
1776.png,0
